Date,Text
2015-05-19,@anushkasubedi56 @kshitizzenith ज्यान मारा लाई  पनि मन लराए पछि त सक्किगोनी हाहाहा
2015-05-19,@arbhattarai02 सन्चै छु ब्रदर हजुरको के छ
2015-05-19,@khimlalp Agreed. हामी बांचे हजार बन्छन धरहरा !!!!!
2015-05-19,सन्सार कहाँ बाट कहाँ पुगिसक्यो तिमी चाहिँ हल्लाइ गन्दै बस ।
2015-05-19,"@Hiemaa82 ले मैले बिर्से रे पाप लाग्ला पै पाप, बल्लबल्ल उठेको फोनमा आधा घण्टा सम्म बोल्दै नबोलि घोसो (😋) पसारेर बसेको चै को नि 😂😂😂"
2015-05-19,@Jaw_Knock होइन हौ त्यसो चाँही @baabajee
2015-05-19,भुकम्प ले धरहरामा पुगेको क्षति बारेमा धेरै को चासो र चिन्ता देखियो ! के चहराएका घाउ भन्दा ठूलो धरहरा हो ? हामी बांचे हजार बन्छन धरहरा !
2015-05-19,यदि मैले शरिर छोडिदिए पनि आफ्ना टुइटजन मित्रहरूलाई छोड्ने छैन। शुभ प्रभात टुइटरजनहरू।
2015-05-19,"@adonisadhikari चार भन्दा कम होला त्यसैले बाहीर आउँदैन, सायद काठमाण्डौ नजिकै नै केन्द्र थियो होला त्यसैले हल्लायो।"
2015-05-19,@sagarbhatta8 @Shraniv कति जना राख्ने भन्ने बारे छलफल गरेर मात्र तय गर्नुपर्छ!
2015-05-19,"२३ जना जीवितै उद्धार गर्ने कुँवरले भने, ‘मलाई कुट्ने विप्लव माओवादी कार्यकर्तालाई कारबाह� http://t.co/lISaII1tO3"
2015-05-19,"जीवनमा कसैकाे विश्वास नगर्नु , पाठ सिकियाे अाज ।
नमस्कार तथा शुभ प्रभात ।"
2015-05-19,"गाेली र बाेलीमा कुन शक्तिशाली ?
याेगी नरहरिनाथ http://t.co/NUxVP64kI8"
2015-05-19,"यो भूकम्प पनि लूकामारि खेलिराछ, कुन दिन झुक्याउछ कि
क्या हो ?

#NepalQuake"
2015-05-19,"आयो आयो भन्दा भाग्ने कि रुक्ने confuse पो भैयो।
नभागम भुकम्प आयो कि भन्ने डर लाउच
भागम राहत आयो कि भन्ने आस लाउच 😎😎😎
बढो confused 😅😅😅"
2015-05-19,@Rockcchya अब कफि होइन चिया मा बल गर्नु पर्छ।(कफि स्वस्थ्यका लागि हनिकारक छ)
2015-05-19,"माने तिमिले सुद्ध लेख्छौ 
म असुद्ध लेख्छु 
तर तिमीले शुद्ध लेख्दैमा र मैले असुद्ध लेख्दैमा टुइटको आसय फरक पर्छ र ?"
2015-05-19,भुरुंग ले क्राइम गर्दैछ | बिचरा US को जेल को चिसो खान बेर छैन | विचार गर !
2015-05-19,"@khimlalp नमस्ते । धन्यवाद । त्यसको निया ITU ले तोके अनुसार हुन्छ । सायद, सरकारले इजाजत दिन्छ ।"
2015-05-19,"हुदैन बीहान मिरमिरमा तारा झरेर नगए
बन्दैन मुळुक ६ सय सांसद मरेर नगए"
2015-05-19,"सँगै हुर्केबढेकाहरुले पनि समय अाएसि लात बजाउँदा रै'छन्। माथ्लाघर तिर्थेकी छोरी पनि थाहै नदिई पलायन भै'छे,बालै भएन। ✈️🚫🔫"
2015-05-19,अरु केलाई देखाउन परोन्त ! अँध्यारोमा पनि बुढा काँ'रान् भनेर खोज्न परे ए बुढा हाँसहाँस भने पुगिगो !!
